tweet_id,retweet_count,favorites,user_favorites
892420643555336193,7762,36494,144702
892177421306343426,5754,31462,144702
891815181378084864,3809,23702,144702
891689557279858688,7929,39831,144702
891327558926688256,8556,38034,144702
891087950875897856,2859,19139,144702
890971913173991426,1870,11146,144702
890729181411237888,17333,61548,144702
890609185150312448,3944,26362,144702
890240255349198849,6754,30143,144702
890006608113172480,6745,29009,144702
889880896479866881,4586,26358,144702
889665388333682689,9196,45423,144702
889638837579907072,4130,25582,144702
889531135344209921,2076,14299,144702
889278841981685760,4905,23816,144702
888917238123831296,4142,27527,144702
888804989199671297,3913,24175,144702
888554962724278272,3206,18683,144702
888078434458587136,3182,20576,144702
887705289381826560,4945,28570,144702
887517139158093824,10811,43801,144702
887473957103951883,16555,65090,144702
887343217045368832,9620,31815,144702
887101392804085760,5479,28946,144702
886983233522544640,7062,33073,144702
886736880519319552,2960,11350,144702
886680336477933568,4105,21227,144702
886366144734445568,2909,19987,144702
886267009285017600,4,113,144702
886258384151887873,5802,26470,144702
886054160059072513,100,0,144702
885984800019947520,6180,30803,144702
885528943205470208,5876,34000,144702
885518971528720385,3434,19364,144702
885311592912609280,17050,0,144702
885167619883638784,4022,20695,144702
884925521741709313,16654,73006,144702
884876753390489601,5140,26333,144702
884562892145688576,4322,22957,144702
884441805382717440,5231,25579,144702
884247878851493888,18728,68782,144702
884162670584377345,2751,19287,144702
883838122936631299,3163,20648,144702
883482846933004288,9081,43344,144702
883360690899218434,3415,21456,144702
883117836046086144,6102,35085,144702
882992080364220416,3580,22591,144702
882762694511734784,4500,26734,144702
882627270321602560,5588,26441,144702
882268110199369728,10656,42409,144702
882045870035918850,4504,27716,144702
881906580714921986,3121,23010,144702
881666595344535552,9832,47873,144702
881633300179243008,7,120,144702
881536004380872706,14696,46766,144702
881268444196462592,4836,21939,144702
880935762899988482,2564,16134,144702
880872448815771648,3524,20133,144702
880465832366813184,5739,26954,144702
880221127280381952,3839,25538,144702
880095782870896641,3994,26129,144702
879862464715927552,3223,21141,144702
879674319642796034,10,298,144702
879492040517615616,2932,22195,144702
879415818425184262,40910,100062,144702
879376492567855104,2883,15906,144702
879130579576475649,6264,0,144702
879050749262655488,4315,21326,144702
879008229531029506,2474,17972,144702
